Company Name,Location,Job Title
The University of Western Australia,"Melbourne, Australia",Senior Lecturer
Universidade Federal de Pernambuco,"Melbourne, Australia",Special Visiting Professor
Hunter Valley Coal Chain Coordinator,"Newcastle, Australia",Modelling Lead
University of Newcastle,"Newcastle, Australia",Member of Industry Advisory Board for Computer Science and Software Engineering
Hunter Valley Coal Chain Coordinator,"Newcastle, Australia",Specialist Capacity and Operations Research
Hunter Valley Coal Chain Coordinator,"Newcastle, Australia",Strategic Modeller
Gilbert + Tobin,"Newcastle, Australia",Litigation Support Manager
JPMorgan Chase & Co.,"Newcastle, Australia",Network Administrator
Hunter Valley Coal Chain Coordinator,"Newcastle, Australia",Strategic Planning Lead
Groupon,"Sydney Area, Australia",NSW Business Development Manager
Universal Music Group,"Sydney Area, Australia",Bravado Merchandise Sales Executive (National Sales Manager)
Karen David International,"Clontarf, Queensland, Australia",Affiliate for The Salon Success Club
General Assembly,"Melbourne Area, Australia",Software Engineer
ASG Group,"Melbourne, Australia",Pega Senior System Architect
Dialog Information Technology,"Melbourne, Australia",FileNet Consultant
HCL Technologies,"Melbourne, Australia",Lead Engineer ( FileNet)
Guerrilla,"Brisbane, Australia",Lead Software Engineer
Guerrilla,"Brisbane, Australia",.NET Developer
Biarri,"Highgate Hill, Queensland, Australia",Optimisation Consultant
Console Connect,"Highgate Hill, Queensland, Australia",Senior Software Engineer
Console Connect,"Highgate Hill, Queensland, Australia",Software Engineer
NEXTDC,"Highgate Hill, Queensland, Australia",Software Engineer
The University of Queensland,"Highgate Hill, Queensland, Australia",Software Developer
The University of Queensland,"Highgate Hill, Queensland, Australia",Tutor
The University of Queensland,"Highgate Hill, Queensland, Australia",Tutor
The University of Queensland,"Highgate Hill, Queensland, Australia",Tutor
GEON print & communications solutions,"Highgate Hill, Queensland, Australia",Pre-Press Operator
Twyla AI,"Highgate Hill, Queensland, Australia",Principal Software Engineer
Enriched Health Care,"New South Wales, Australia",Physiotherapist
Burgess Hill Physiotherapy,"New South Wales, Australia",Practice Principal
Softlink,"Brisbane Area, Australia",Education Consultant
"Department of Education & Training, Victoria","Brisbane Area, Australia",Training & Support Officer
"Department of Health, Victoria - now Department of Health & Human Services, Victoria","Brisbane Area, Australia",Information Support Officer
Datalink Internet Systems Pty Ltd,"Brisbane Area, Australia",Marketing and Communications Officer
Datalink Internet Systems Pty Ltd,"Brisbane Area, Australia",Market Engagement Manager
Datalink Internet Systems Pty Ltd,"Brisbane Area, Australia",Sales and Marketing Manager
Datalink Internet Systems Pty Ltd,"Brisbane Area, Australia",Professional Services Manager
Datalink Internet Systems Pty Ltd,"Brisbane Area, Australia",Business Consultant
Strathfield Group,"Brisbane Area, Australia",Sales Executive
Griffith University,"Brisbane Area, Australia",Research Assistant
Prodonovich Advisory,"Sydney Area, Australia",Principal
Meritas Law Firms Worldwide,"Sydney Area, Australia",Australia & New Zealand Regional Director
Prodonovich Advisory,"Sydney Area, Australia",Co-Creator Practice Reboot
FMRC,"Sydney Area, Australia",Teaching Faculty - Legal Practice Management Course + Business Development For Lawyers Course
Legal Sales and Service Organization,"Sydney Area, Australia",Member of the Editorial Board
The College of Law Australia,"Sydney Area, Australia",Teaching Faculty - Practice Management Courses
Lawyers Weekly,"Sydney Area, Australia",Judge - Corporate Counsel Awards
Lawyers Weekly,"Sydney Area, Australia",Judge - Australian Law Awards 2016
The Law Society of New South Wales,"Sydney Area, Australia",Contributor: Developing & Facilitating course content
Practice Builders,"Sydney Area, Australia",Director
Crowe Horwath Australia,"Sydney Area, Australia",Partner
ICON APAC,"Sydney Area, Australia",Member of the Board; Member of NSW State Commitee
"rogenSi is now TeleTech Consulting, Learning & Performance","Sydney Area, Australia",Senior Consultant
Baker McKenzie,"Sydney Area, Australia",Director of Business Development & Marketing
Arthur Andersen & Co.,"Sydney Area, Australia",Director of Marketing
United International Pictures,"Sydney Area, Australia",Publicist
Village Roadshow,"Sydney Area, Australia",Publicist
Law Institute of Victoria,"Sydney Area, Australia",Teaching Faculty - Business Development & Marketing 
Lawyers Weekly,"Sydney Area, Australia",Member of the Judging Panel: 2019 Corporate Counsel Awards
Lawyers Weekly,"Sydney Area, Australia",Member of the Judging Panel : 2018 Women In Law Awards
Lawyers Weekly,"Sydney Area, Australia",Member of Judging Panel: 2018 Australian Law Awards
ACCC,"Canberra, Australian Capital Territory, Australia",Assistant Director
Department of Communications and the Arts,"Canberra, Australian Capital Territory, Australia",Assistant Director
Australian Chamber of Commerce and Industry,"Canberra, Australian Capital Territory, Australia",Economic Policy Advisor
"Department of Industry, Innovation and Science","Canberra, Australian Capital Territory, Australia",Economic Analyst
Australian Renewable Energy Agency (ARENA),"Canberra, Australian Capital Territory, Australia",Business Development
Australian Renewable Energy Agency (ARENA),"Canberra, Australian Capital Territory, Australia",Client Manager
Australian Department of Health,"Canberra, Australian Capital Territory, Australia",Graduate
Community Legal Centres Queensland,"Brisbane, Australia",Director (CEO)
Deakin University,"Brisbane, Australia",Lecturer
Justice Connect,"Brisbane, Australia",Manager/Principal Lawyer
Corrs Chambers Westgarth,"Brisbane, Australia",Lawyer
Deakin University,"Brisbane, Australia",Casual lecturer/Tutor
Westerntel,"Brisbane, Australia",Group Accountant
Victoria University,"Melbourne, Australia","Lecturer and Researcher, Moondani Balluk Academic Unit"
Victoria University,"Melbourne, Australia",Curriculum Developer
University of Melbourne,"Melbourne, Australia",Research Assistant
Target Australia,"Melbourne, Australia",Community and Sustainability Manager
Target Australia,"Melbourne, Australia",Indigenous Affairs Manager
3KND/SEIMA,"Melbourne, Australia","Co-host, ARTSUP!"
Essendon Football Club,"Melbourne, Australia","General Manager, The Long Walk"
City of Melbourne,"Melbourne, Australia","Chair, Indigenous Arts Advisory Panel"
City of Melbourne,"Melbourne, Australia","Member, Indigenous Arts Advisory Panel"
Essendon Football Club,"Melbourne, Australia","Project Manager, The Long Walk"
City of Melbourne,"Melbourne, Australia",Nicholls Memorial Project
City of Port Phillip,"Melbourne, Australia",Indigenous Arts Officer
Melbourne International Arts Festival,"Melbourne, Australia",Company Coordinator
University of Melbourne,"Melbourne, Australia",Student Liaison Officer
SMEC,"Melbourne, Australia","Technical Principal, Structures"
Vee Design,"Brisbane, Australia",Director
Australian Institute of Landscape Architects (AILA),"Brisbane, Australia",National Board Member
Australian Institute of Landscape Architects (AILA),"Brisbane, Australia",Queensland President
Australian Institute of Landscape Architects (AILA),"Brisbane, Australia",Queensland Vice President
EDAW,"Brisbane, Australia",Practice Director
HASSELL,"Brisbane, Australia",Associate Landscape Architect
The University of Queensland,"Brisbane, Australia",Senior Lecturer in Clinical Exercise Physiology
University of Canberra,"Canberra, Australia","Foundation Chair, Urban and Regional Planning"
Vatis Consulting,"Sydney Area, Australia",Principal Consultant and Director
DXC Red Rock,"Sydney Area, Australia",Principal Applications Consultant
Boral,"Sydney Area, Australia",Oracle Support Analyst
Vodafone,"Sydney Area, Australia",Analyst Programmer
Vodafone,"Sydney Area, Australia",Billing System Analyst
eHealth NSW,"Sydney Area, Australia",Oracle Applications Lead - Financials
"PRICEWATERHOUSE COOPERS, S.C.","Canberra, Australia",Senior Consultant
Thomson Reuters Recap,"Canberra, Australia","Analyst, Deloitte Corporate Finance"
The University of Queensland,"Canberra, Australia",Treasurer
Pinnacle Project Solutions Pty Ltd,"Sydney, New South Wales, Australia",Managing Director
University of Sydney,"Sydney, New South Wales, Australia",ICT Portfolio Manager
University of Sydney,"Sydney, New South Wales, Australia",Senior ICT Project Manager
University of Sydney,"Sydney, New South Wales, Australia",r/ICT Program Manager - Education 
NSW Department of Education,"Sydney, New South Wales, Australia",ICT Service Relationship Manager
NSW Department of Education,"Sydney, New South Wales, Australia",ICT Relationship Manager
NSW Department of Education,"Sydney, New South Wales, Australia",Regional Technology Project / Portfolio Manager
NSW Department of Education,"Sydney, New South Wales, Australia",Team Leader - Technology Support
NSW Department of Education,"Sydney, New South Wales, Australia",Desktop Support Officer
TAFE NSW,"Sydney, New South Wales, Australia",Computer Systems Officer
TAFE NSW,"Sydney, New South Wales, Australia",Teacher Information Technology
NSW Department of Education,"Sydney, New South Wales, Australia",ICT Program Manager
NSW Department of Education,"Sydney, New South Wales, Australia",Senior ICT Project Manager
Invoice2go,"Sydney Area, Australia",Software Engineer
Talent Generation Pty Ltd,"Sydney Area, Australia",iPhone Developer
The Benevolent Society,"Sydney Area, Australia",Business (Enterprise) Architect
TNT Australia,"Sydney Area, Australia",Solution Architect
TNT Australia,"Sydney Area, Australia",Senior Systems Analyst
TNT Australia,"Sydney Area, Australia",Senior Analyst Programmer
TNT Australia,"Sydney Area, Australia",Analyst Programmer
Hubb Financial Group,"Sydney Area, Australia",Software Engineer
"Veriglif, the world’s first global consumer data ecosystem ","Sydney Area, Australia",Chief Technology Officer
Lendlease,"Redcliffe North, Queensland, Australia",Safety Manager
McNab,"Redcliffe North, Queensland, Australia",Safety Coordinator
Veolia,"Redcliffe North, Queensland, Australia",Sub Contractor
Lendlease,"Redcliffe North, Queensland, Australia",Safety Manager
Lendlease,"Redcliffe North, Queensland, Australia",Senior Safety Advisor
The Centre for Social Impact,"Melbourne Area, Australia",Research Fellow
Monash University,"Melbourne Area, Australia",Lecturer
Impact Investing Australia,"Melbourne Area, Australia",Program Director
Pacific Corporate Group,"Melbourne Area, Australia",Sr Consultant
Centre for Sustainability Leadership,"Melbourne Area, Australia",Interim Operations Manager
Truckee Meadows Community College,"Melbourne Area, Australia",Instructor
Morgan Stanley,"Melbourne Area, Australia",Financial Advisor
The Centre for Social Impact,"Melbourne Area, Australia",Adjunct Fellow
Impact Investment Group,"Melbourne Area, Australia",Chief Impact Officer
Rebel media,"Brisbane, Australia",Gold Coast Account Manager
Industry Pathways,"Brisbane, Australia",Human Resources & Finance Manager - Contract
Industry Pathways,"Brisbane, Australia",Finance Manager
WFI Insurance,"Brisbane, Australia",Area Manager
Drake International,"Brisbane, Australia",Business Development Manager / Team Leader
WIN Television Sales,"Brisbane, Australia",Account Executive
Russell Mineral Equipment,"Brisbane, Australia",Executive Officer to Managing Director - Contract position
Drake International - Australia,"Brisbane, Australia",Client Relationship Manager
Executive Elite,"Brisbane, Australia",Membership | Sponsorship | Events Coordinator
Gold Coast North Chamber of Commerce and Industry Inc,"Brisbane, Australia",Membership | Sponsorship | Events Coordinator
Wiley,"Brisbane, Queensland, Australia",R&D and Innovation Director
Wiley,"Brisbane, Queensland, Australia",Commercial Technology Director
Speedwell,"Brisbane, Queensland, Australia",Digital Strategy Director
LEWIS Global Communications,"Brisbane, Queensland, Australia",Head of Information and Systems
BI WORLDWIDE EMEA,"Brisbane, Queensland, Australia",Senior Interactive Designer
Wiley,"Brisbane, Queensland, Australia",Chief Future Officer
Jacobs,"South Brisbane BC, Queensland, Australia",Technical Director - Tunnels
CH2M,"South Brisbane BC, Queensland, Australia","Regional Practice Leader, Tunnels and Earth Engineering"
CH2M,"South Brisbane BC, Queensland, Australia","Global Technology Leader, Tunnels"
CH2M,"South Brisbane BC, Queensland, Australia",Principal Tunnel Engineer
"Halcrow, a CH2M Company","South Brisbane BC, Queensland, Australia",Principal Tunnel Engineer
The University of Manchester,"South Brisbane BC, Queensland, Australia",Research associate
VICTORIAN TRADES HALL COUNCIL,"Melbourne, Australia",Media and Communications Lead
Australian Labor Party,"Melbourne, Australia",Member
Australian Labor Party,"Melbourne, Australia",Volunteer Communications Advisor
University of Melbourne,"Melbourne, Australia",Various
KPA Concrete,"Melbourne, Australia",Estimator / Contract Administrator
Valecha Engineering Limited,"Melbourne, Australia",Graduate Engineering Trainee
Specsavers,"Queensland, Australia",Head of Retail - Specsavers Audiology
Specsavers,"Queensland, Australia",State Development Director (QLD/NT)
Specsavers,"Queensland, Australia",Head of Professional Recruitment Australia/New Zealand
Specsavers,"Queensland, Australia",State Development Director
Boots Opticians,"Queensland, Australia",Franchise Network Regional Manager
Dollond & Aitchison,"Queensland, Australia",Franchisee (2 stores owner)
Tabor College,"Melbourne, Australia",Lecturer
Tabor College Hoorn,"Melbourne, Australia",Lecturer in New Testament Greek
University of Adelaide,"Adelaide, Australia",Adjunct Lecturer
The University of Western Australia,"Adelaide, Australia",Research Assistant Professor
University of Adelaide,"Adelaide, Australia",Principal Supervisor/Lead of Research Team
Tutors SA,"Adelaide, Australia","Tutor (Year 5 -12 classes; UMAT, Mathematics, Biology, Chemistry and General Sciences)"
University of Adelaide,"Adelaide, Australia",Case Based Learning Medical Tutor
University of Adelaide,"Adelaide, Australia",Physiology Demonstrator and Marker
The University of Western Australia,"Adelaide, Australia",Honorary Postdoctoral Research Fellow
University of Adelaide,"Adelaide, Australia",Demonstrator and Marker
University of Adelaide,"Adelaide, Australia",Adjunct Senior Lecturer
ACETEK Health & Aged Care,"Sydney Area, Australia",Project Manager
Hills Limited,"Sydney Area, Australia",Project Manager
Questek Australia,"Sydney Area, Australia",Project Manager
Questek Australia,"Sydney Area, Australia",Service Technician
Telstra,"Melbourne, Australia",Group Manager Solution Consultants
Telstra,"Melbourne, Australia",Sales Manager - Presales
Telstra,"Melbourne, Australia",Technical Solution Specialist - Presales
VicTrack,"Melbourne, Australia",Senior Account Manager
Telstra,"Melbourne, Australia",Senior Product Manager
Telstra,"Melbourne, Australia",Customer Infrastructure Specialist - Engineering
Telstra,"Melbourne, Australia",Product Infrastructure Specialist - Engineering
Telstra,"Melbourne, Australia",Communication Consultant - Graduate
Telstra,"Melbourne, Australia",Manager
Murdoch University,"Murdoch, Western Australia, Australia",Safety in Research and Teaching Coordinator
Fresh Start Recovery Programme,"Murdoch, Western Australia, Australia",Safety and Quality Officer
Omni Assist Pty Ltd,"Murdoch, Western Australia, Australia",HSEQ Consultant
BRP,"Sydney, Australia",Vice President & GM BRP Asia Pacific
BRP,"Sydney, Australia",GM Asia Pacific
BRP,"Sydney, Australia",GM Australia & New Zealand
BOMBARDIER,"Sydney, Australia",Senior Analyst Strategic Initiatives
BOMBARDIER,"Sydney, Australia",Internal Auditor
TransGrid,"Sydney, Australia",Program Manager - Transmission Lines and Cables
TransGrid,"Sydney, Australia",Commissioning Services Manager
TransGrid,"Sydney, Australia",Program Manager
TransGrid,"Sydney, Australia",Senior Project Manager
TransGrid,"Sydney, Australia",Project Manager
TransGrid,"Sydney, Australia",Protection Design
TransGrid,"Sydney, Australia",System Operations Planning
TransGrid,"Sydney, Australia",Secondary Systems Maintenance
Zinfra,"Sydney, Australia",Program Manager
Australia Post,Австралия,"OD partner, Postal Services"
Australia Post,Австралия,"OD Partner, Post Operations Network"
Australia Post,Австралия,Talent Consultant
National Australia Bank,Австралия,HR Business Partner
HOBAN,Австралия,"Team Leader, Projects Recruitment"
Hays,Австралия,Recruitment Consultant
Cyara,"Melbourne Area, Australia",CEO
TiE Melbourne,"Melbourne Area, Australia",Board Member
Genesys,"Melbourne Area, Australia",SE Director - APAC
National Australia Bank,"Melbourne Area, Australia",Senior Analyst/Programmer
NEC Corporation,"Melbourne Area, Australia",Software Development Engineer
WSP in Australia & New Zealand,"Melbourne Area, Australia",Consulting Engineer
Anaplan,"Sydney Area, Australia","Country Marketing Manager, ANZ / SEA"
Navig8,"Sydney Area, Australia",Advisor
Amanxi,"Sydney Area, Australia",Director
Shop4,"Sydney Area, Australia",Advisor
PayFields,"Sydney Area, Australia",CEO
NGA Human Resources,"Sydney Area, Australia",Marketing Director A/NZ
CXC Global,"Sydney Area, Australia",Head of Marketing
CXC Global,"Sydney Area, Australia",National Marketing Manager A/NZ
MDS Pharma Services,"Sydney Area, Australia",Consultant - Business Strategy & Change Management
PayGlobal | Now part of MYOB,"Sydney Area, Australia",Marketing Manager
Schneider Electric,"Sydney Area, Australia",Marketing Director - GM ANZ
Anaplan,"Sydney Area, Australia",Demand Manager - APAC
Monash University,"Melbourne, Australia",Web Content Coordinator
Australian Government Department of Human Services,"Melbourne, Australia",Web Content Migrator
International Needs Australia,"Melbourne, Australia",Gifts in Wills Manager
World Vision Australia,"Melbourne, Australia",National Relationship Manager - Bequests
World Vision Australia,"Melbourne, Australia",Emergency Response Logistics Officer
World Vision Australia,"Melbourne, Australia",Statae Manager Victoria and Tasmania
World Vision Australia,"Melbourne, Australia",Production Co Ordinator
RFI Technology Solutions,"Sydney Area, Australia",Chief Financial Officer
Versent,"Sydney Area, Australia",Chief Financial Officer
Supply Chain Squared,"Sydney Area, Australia",Associate
Optus,"Sydney Area, Australia","Director, Procurement"
Optus,"Sydney Area, Australia","General Manager, Commercial Transformation"
Optus,"Sydney Area, Australia","Director, IT Commercial"
Optus,"Sydney Area, Australia","Commercial Manager, Capital Evaluation"
Optus,"Sydney Area, Australia","Commercial Manager, Consumer Strategy"
Optus,"Sydney Area, Australia","Commercial Manager, Consumer IT & Networks"
Bionomics Ltd,"Adelaide, Australia","Manager, Strategic Alliances"
Mayne Pharma,"Adelaide, Australia","Director, Business and Corporate Development"
Novozymes,"Adelaide, Australia","Senior Manager, Business Development and Acquisitions, Novozymes BioPharma"
Bionomics Ltd,"Adelaide, Australia","Group Leader, Scientific Affairs and Licensing"
Bionomics Ltd,"Adelaide, Australia","Head, Protein Discovery Group"
CSIRO,"Adelaide, Australia",Senior Research Scientist
University of South Australia,"Adelaide, Australia","Member, Museum of Discovery (MOD) Governance Group"
University of Adelaide,"Adelaide, Australia","Board Member, Institute of Photonics and Advanced Sensing"
University of South Australia,"Adelaide, Australia","Board Member, Innovation and Collaboration Centre"
SABRENet Ltd,"Adelaide, Australia",Board Director
TechInSA Startup Support Agency,"Adelaide, Australia",Board Observer
Transport for NSW,"Sydney, Australia",Scrum Master
nbn™ Australia,"Sydney, Australia",Scrum Master/Business Analyst
Bulletproof Group Limited,"Sydney, Australia",Scrum Master
Oakton,"Sydney, Australia",Business Analyst/Scrum Master
Oakton,"Sydney, Australia",Software Engineer
University of Sydney,"Sydney, Australia",Research Assistant
University of Sydney,"Sydney, Australia",Tutor/Lab Supervisor/Helpdesk
Brisbane Boys'​ College,"Brisbane Area, Australia",Secondary Science Teacher
Seqwater,"Brisbane Area, Australia","Knowledge, IP Management and Systems Governance Coordinator"
Seqwater,"Brisbane Area, Australia","RS&T Stakeholder, IP & Knowledge Coordinator"
Australian WaterSecure Innovations Ltd.,"Brisbane Area, Australia",Intellectual Property Specialist
IP Australia,"Brisbane Area, Australia",Patent Examiner
QUT (Queensland University of Technology),"Brisbane, Australia",PhD Candidate
QUT (Queensland University of Technology),"Brisbane, Australia",Research Assistant
QUT (Queensland University of Technology),"Brisbane, Australia",Sessional Academic (Public Relations and Marketing)
QUT (Queensland University of Technology),"Brisbane, Australia",Masters by Research Student
SU QLD,"Brisbane, Australia",Marketing & Events Manager
GJI Group,"Brisbane, Australia",Sales and Marketing Co-ordinator
SU QLD,"Brisbane, Australia",Public Relations & Marketing Intern
EcoThought Pty Ltd,"Bendigo Area, Australia",Director
CSC,"Bendigo Area, Australia",Consultant Human Factors Specialist
KAZ,"Bendigo Area, Australia",Delivery Manager
KAZ,"Bendigo Area, Australia",Program Manager National Security
Ministerie van Defensie,"Bendigo Area, Australia",ACSS System Engineer
Department of Defence,"Bendigo Area, Australia",CAPLOG Project
AB Language Services,"Western Australia, Australia",CEO
AAA Scandinavian Translations,"Western Australia, Australia",Freelance localization and editing
AAA Scandinavian Translations,"Western Australia, Australia",Freelance translator and editor
Programmed,"Melbourne, Australia",Project Manager (Contract role)
Talent2,"Melbourne, Australia",Project Manager (Contract role)
Computershare Utility Services,"Melbourne, Australia",Project Manager (Contract role)
Computershare Utility Services,"Melbourne, Australia",Project Manager (Contract role)
Programmed,"Melbourne, Australia",Project Manager - Costing
Programmed,"Melbourne, Australia","Head of Change Management, Shared Services"
Programmed,"Melbourne, Australia",Group Pay/Bill Services Manager
AGL Energy,"Melbourne, Australia","Solution Design manager, Commercial manager, Account manager"
Newcastle Permanent Building Society,"Sydney, Australia",Data Warehouse Specialist
i2c Inc.,"Sydney, Australia",Associate Architect
TMA Australia Pty Ltd,"Sydney, Australia",SQL Developer
Gigya,"Sydney Area, Australia",Senior Solution Architect
Simple,"Sydney Area, Australia",Principal Solution Consultant
Gigya,"Sydney Area, Australia",Senior Solution Architect
Vivify Creative Pty Ltd,"Sydney Area, Australia",Cofounder
Westpac,"Sydney Area, Australia",Digital Development Manager
SDL plc,"Sydney Area, Australia",Project Manager / Content Architect (Contract)
SDL Campaigns,"Sydney Area, Australia",Managing Senior Consultant
Mediasurface,"Sydney Area, Australia",Technical Support Lead
Jacobs,"Adelaide, Australia",Senior Water Resources Engineer
Sinclair Knight Merz,"Adelaide, Australia",Water Engineer
Jenkins Legal Services,"Newcastle, Australia",Solicitor
NSW Young Lawyers,"Newcastle, Australia",Executive Councillor
The Law Society of New South Wales,"Newcastle, Australia",Law Society Rural Issues Committee Young Lawyers Representative
NSW Young Lawyers,"Newcastle, Australia",BushWeb Regional Issues Committee Chair
NSW Young Lawyers,"Newcastle, Australia",BushWeb Regional Issues Committee Vice Chair
Mullane & Lindsay Solicitors,"Newcastle, Australia",Solicitor
Jenkins Legal Services,"Newcastle, Australia",Senior Associate
Newcastle Law Society,"Newcastle, Australia",Treasurer
Property NSW,"Sydney, Australia",Assistant Management Accountant - Projects
WorleyParsons,"Perth, Australia",Lead Electrical Engineer
WorleyParsons,"Perth, Australia",Senior Project Engineer
WorleyParsons,"Perth, Australia",Principal Electrical Engineer
Chevron,"Perth, Australia",Client Representative - Electrical & Instrumentation Engineering - Wheatstone LNG
WorleyParsons,"Perth, Australia",Acting Electrical Engineering Discipline Manager
WorleyParsons,"Perth, Australia",Lead Electrical Engineer
WorleyParsons,"Perth, Australia",Lead Electrical Engineer
WorleyParsons,"Perth, Australia",Lead Electrical Engineer
Transfield Worley,"Perth, Australia",Lead Electrical Engineer
Lycopodium Limited,"Perth, Australia",Senior/Lead Electrical Engineer
BAE Systems,"Perth, Australia",Facilities Maintenance Manager
HBF Health,"Perth Area, Australia",Digital Tech Lead
"Birchman, an SMS Management & Technology company","Perth Area, Australia",Software Architect
Beacon,"Perth Area, Australia",Senior Software Developer
Immersive Technologies,"Perth Area, Australia",Team Lead
Cushman & Wakefield,"Melbourne, Australia",Contract Manager | Department of Treasury and Finance Account 
Cushman & Wakefield,"Melbourne, Australia",Contract Administrator I Australia Post Account
Swan Services Pty Ltd,"Melbourne, Australia",Facilities Assistant
Amazing Colombia S.A.,"Melbourne, Australia",Functional Consultant
Cushman & Wakefield,"Melbourne, Australia",Data & Scheduling Manager
Cushman & Wakefield,"Melbourne, Australia",Data & Scheduling Manager
Fujitsu Australia Limited,"Perth Area, Australia",Senior Technical Architect
Fujitsu Australia Limited,"Perth Area, Australia",Senior Consultant
Utonic Beverages Pty Ltd,"Melbourne, Australia",Dietitian & science and research team leader
Collingwood Football Club,"Melbourne, Australia",Sports performance dietitian
Melbourne Victory Football Club,"Melbourne, Australia",Consultant Dietitian
Victoria University,"Melbourne, Australia",Casual lecturer
Western Bulldogs,"Melbourne, Australia",Team Dietitian
Meat & Livestock Australia,"Melbourne, Australia","Project Officer, Nutrition"
QUT (Queensland University of Technology),"Brisbane Area, Australia","Professor and Head, School of Clinical Sciences"
Pharmaceutical Society of Australia,"Brisbane Area, Australia",President - Queensland Branch
The University of Queensland,"Brisbane Area, Australia","Associate Professor, Quality Use of Medicines (School of Pharmacy)"
eHealth NSW,"Sydney Area, Australia",Medical & Dental Rostering Solution Lead - Senior BA
eHealth NSW,"Sydney Area, Australia",Implementation Assurance Testing Manager
eHealth NSW,"Sydney Area, Australia",Implementation Lead - Senior Business Analyst
George Weston Foods,"Sydney Area, Australia",Senior BA & Change Consultant - Kronos
GrainCorp,"Sydney Area, Australia",Time and Attendance Automation Change/Training Consultant
Ramsay Health Care,"Sydney Area, Australia",NSW Kronos Training and Support Consultant
Sydney Trains,"Sydney Area, Australia",Enterprise Agreement Technical Business Analyst
Kronos Incorporated,"Sydney Area, Australia",Workforce Management Application Consultant II
Thomson Reuters,"Sydney Area, Australia","Governance, Risk & Compliance Implementation Consultant"
Mercer,"Sydney Area, Australia",MSSD Team Leader (Workforce Intelligence Software) - Associate
Patrick,"Sydney Area, Australia",UNIX Systems Administrator
Lexmark,"Sydney Area, Australia",Technical Support Analyst
Unisys,"Sydney Area, Australia",Server/Desktop Support Engineer - Contract
Sensis,"Sydney Area, Australia",Online Advertising Consultant
Australian Government,"Canberra, Australia",Senior Analyst Programmer
Australian Government Department of Human Services,"Canberra, Australia",Analyst Programmer
